lng	lat	count
100.239203	25.596459	1
101.367746	37.097115	2
101.544792	37.031922	2
101.807932	36.603364	1
102.589645	24.657892	2
102.649386	37.912638	2
102.758790	25.044632	1
102.868870	35.707540	1
104.137107	36.540416	3
104.597537	35.598579	2
104.598959	35.601398	2
104.919120	28.577081	4
105.579595	30.494222	1
105.728920	29.694178	1
105.730637	29.693733	1
105.730988	29.693575	1
105.944168	32.750278	6
106.393204	29.805004	1
106.685974	35.548294	1
106.742291	35.510094	3
107.076268	29.834057	2
107.893684	27.227383	1
108.202599	22.824173	1
108.203575	22.824188	1
108.250114	22.839777	1
108.797790	37.593099	5
108.998596	34.230686	2
109.491394	36.641479	1
109.548340	34.741577	2
110.104691	19.443855	1
110.325077	20.020831	2
110.365318	21.267067	1
110.370186	20.001625	1
110.370506	21.273991	1
110.401176	23.531629	2
110.485893	29.112179	1
110.494332	24.774009	1
111.093666	38.983006	6
111.521246	35.957044	2
111.613788	26.453165	2
111.694595	29.007696	3
111.706398	40.814423	1
111.977531	29.210503	13
112.094864	32.687939	1
112.165024	32.082275	1
112.184039	36.384682	2
112.317790	35.602847	2
112.343384	28.519375	1
112.374702	26.965069	2
112.614731	22.871038	1
112.682017	37.689463	2
112.797104	21.952936	6
112.859001	35.490705	1
112.975662	28.203093	1
113.114070	35.182188	5
113.205589	23.487158	1
113.210312	22.869017	1
113.229973	23.177578	3
113.234642	23.071959	2
113.237717	22.029562	1
113.254570	22.844011	1
113.258842	23.090027	1
113.268276	35.247484	1
113.323715	23.258905	1
113.329094	23.148985	1
113.341250	28.264000	1
113.516296	27.640179	1
113.529762	22.236731	1
113.643555	34.746300	2
113.643730	34.732414	1
113.699661	23.273018	1
113.701118	22.793772	1
113.743721	23.007908	1
113.831855	34.544010	1
113.931908	22.767471	4
114.342636	30.543503	2
114.355743	30.476288	1
114.429039	23.112995	1
114.794567	24.903079	1
115.185356	23.629580	1
115.467734	35.248876	1
115.539097	35.259223	3
115.603584	33.151779	1
115.994774	29.879175	1
116.086774	23.876759	1
116.378621	39.988985	1
116.665648	40.129545	1
116.668457	28.987206	1
116.858978	38.322361	1
117.154955	37.304293	2
117.527415	27.904356	1
117.576180	34.857733	2
117.824478	29.261425	1
118.252571	39.654491	1
118.522666	31.685600	1
118.605629	24.817570	1
118.694406	41.007432	2
118.725296	31.016052	2
118.769296	24.868855	1
118.770221	32.062419	2
118.971367	32.127522	10
119.408684	32.197304	7
119.489322	35.430823	2
119.550217	32.419056	4
119.662103	26.236570	7
119.714344	36.996131	1
119.810791	32.074722	3
119.816321	32.234714	2
119.914993	31.775595	2
119.940666	32.485519	13
119.948924	31.780371	2
120.130630	30.372765	2
120.158577	30.368212	4
120.209923	31.689707	1
120.279053	31.534618	1
120.336639	36.067135	1
120.345184	31.627510	4
120.562698	31.628004	1
120.571838	27.992260	1
120.626448	30.890944	6
120.633517	31.272339	1
120.672997	29.220942	2
120.715620	37.986414	1
120.763651	27.970066	2
120.766823	27.968629	2
120.907478	32.023331	1
120.917767	31.036876	1
120.925139	31.113129	1
120.970459	31.293432	1
120.971390	31.297768	1
120.999977	30.145275	1
121.010518	30.884625	2
121.013881	30.892740	1
121.013939	31.107574	2
121.014694	30.892261	1
121.016342	30.895294	1
121.017357	30.892636	1
121.019869	30.894771	1
